≠,№,Показатели,Считаем сами,Учет населения,Баллы за единицу,Точная формулировка вопроса,Комментарии
,162,      2 место в ПР юноши до 18 лет,   да,,"2,5",,
,163,      1 место в ПР юноши до 18 лет,   да,,"2,5",,
,164,      3 место в  (ДЮБЛ),   да,,"2,5",,
,165,      2 место в  (ДЮБЛ),   да,,"2,5",,
,166,      1 место в  (ДЮБЛ),   да,,3,,
,167,      3 место в  (ЕМЛ ВТБ),   да,,3,,
,168,      2 место в  (ЕМЛ ВТБ),   да,,3,,
,169,      1 место в  (ЕМЛ ВТБ),   да,,3,,
,,   Призовые места в Первенстве России женщины,,,,,
,170,      3 место в ПР девушки до 14 лет,   да,,3,,
,171,      2 место в ПР девушки до 14 лет,   да,,3,,
,172,      1 место в ПР девушки до 14 лет,   да,,3,,
,173,      3 место в ПР девушки до 15 лет,   да,,3,,
,174,      2 место в ПР девушки до 15 лет,   да,,3,,
,175,      1 место в ПР девушки до 15 лет,   да,,3,,
,176,      3 место в ПР девушки до 16 лет,   да,,3,,
,177,      2 место в ПР девушки до 16 лет,   да,,3,,
,178,      1 место в ПР девушки до 16 лет,   да,,3,,
,179,      3 место в ПР девушки до 17 лет,   да,,3,,
,180,      2 место в ПР девушки до 17 лет,   да,,3,,
,181,      1 место в ПР девушки до 17 лет,   да,,3,,
,182,      3 место в ПР девушки до 18 лет,   да,,3,,
,183,      2 место в ПР девушки до 18 лет,   да,,3,,
,184,      1 место в ПР девушки до 18 лет,   да,,3,,
,185,      3 место в  (ДЮБЛ),   да,,3,,
,186,      2 место в  (ДЮБЛ),   да,,3,,
,187,      1 место в (ДЮБЛ),   да,,3,,
5х5,6,Массовый баскетбол 5х5,,,,,
,,   Школьный баскетбол (Локобаскет),,,,,
,,      Участие мужских команд,,,,,
,188,         Команда в региональных соревнованиях Локобаскет,   да,да,3,,
,189,         Команда во Всероссийском финале Локобаскет,   да,да,3,,
,,      Участие женских команд,,,,,
,190,         Команда в региональных соревнованиях Локобаскет,   да,да,3,,
,191,         Команда во Всероссийском финале Локобаскет,   да,да,3,,
,,      Призовые места в лигах мужчины,,,,,
,192,         3 место в Финале ФО Локобаскет,   да,,3,,
,193,         2 место в Финале ФО Локобаскет,   да,,3,,
,194,         1 место в Финале ФО Локобаскет,   да,,3,,
,195,         3 место во Всероссийском финале Локобаскет,   да,,3,,
,196,         2 место во Всероссийском финале Локобаскет,   да,,3,,
,197,         1 место во Всероссийском финале Локобаскет,   да,,3,,
,,      Призовые места в лигах женщины,,,,,
,198,         3 место в Финале ФО Локобаскет,   да,,3,,
,199,         2 место в Финале ФО Локобаскет,   да,,"3,3",,
,200,         1 место в Финале ФО Локобаскет,   да,,"3,3",,
,201,         3 место во Всероссийском финале Локобаскет,   да,,"3,3",,
,202,         2 место во Всероссийском финале Локобаскет,   да,,"3,3",,
,203,         1 место во Всероссийском финале Локобаскет,   да,,"3,3",,
,,   Школьный баскетбол (КЭС-Баскет),,,,"   Добавить историю маркетинговую
Добавить информационное сопровождение региона (предложение от КЭС)
Муниципалиттеты не учитываем
Игры не считаем",
,,      Участие мужских команд,,,,,
,179,         Команда в региональных соревнованиях КЭС-Баскет,   да,да,"3,3",,
,180,         Команда в Суперфинале КЭС-Баскет,   да,да,"3,3",,
,,      Участие женских команд,,,,,
,181,         Команда в региональных соревнованиях КЭС-Баскет,   да,да,"3,3",,
,182,         Команда в Суперфинале КЭС-Баскет,   да,да,"3,3",,
,,      Призовые места в лигах мужчины,,,,,
,183,         3 место в Финале ФО КЭС-Баскет,   да,,"3,3",,
,184,         2 место в Финале ФО КЭС-Баскет,   да,,"3,3",,
,185,         1 место в Финале ФО КЭС-Баскет,   да,,"3,3",,
,186,         3 место в Суперфинале КЭС-Баскет,   да,,"3,3",,
,187,         2 место в Суперфинале КЭС-Баскет,   да,,"3,3",,
,188,         1 место в Суперфинале КЭС-Баскет,   да,,"3,3",,
,,      Призовые места в лигах женщины,,,,,
,189,         3 место в Финале ФО КЭС-Баскет,   да,,"3,3",,
,190,         2 место в Финале ФО КЭС-Баскет,   да,,"3,3",,
,191,         1 место в Финале ФО КЭС-Баскет,   да,,"3,5",,
,192,         3 место в Суперфинале КЭС-Баскет,   да,,"3,5",,
,193,         2 место в Суперфинале КЭС-Баскет,   да,,"3,7",,
,194,         1 место в Суперфинале КЭС-Баскет,   да,,"3,7",,
,,   Студенческий баскетбол (АСБ),,,,,
,,      Мужские дивизионы,,,,,
,195,         Региональный дивизион Старт АСБ,   да,,"3,5",,
,196,         Региональный дивизион Базовый АСБ,   да,,"7,5",,
,197,         Региональный дивизион Топ АСБ,   да,,"10,5",,
,,      Женские дивизионы,,,,,
,198,         Региональный дивизион Старт АСБ,   да,,"3,5",,
,199,         Региональный дивизион Базовый АСБ,   да,,"7,5",,
,200,         Региональный дивизион Топ АСБ,   да,,"10,5",,
,,      Участие студенческих мужских команд,,,,,
,201,         Команда в региональном дивизионе АСБ,   да,да,4,,
,202,         Команда в высшем дивизионе АСБ,   да,да,4,,
,203,         Команда в Лиге Белова,   да,да,4,,
,204,         Команда в СЛ РЖД,   да,да,4,,
,,      Участие студенческих женских команд,,,,,
,205,         Команда в региональном дивизионе АСБ,   да,да,4,,
,206,         Команда в высшем дивизионе АСБ,   да,да,4,,
,207,         Команда в Лиге Белова,   да,да,"1,8",,
,208,         Команда в СЛ РЖД,   да,да,3,,
,,      Призовые места в студенческих лигах мужчины,,,,,
,209,         3 место в Высшем дивизионе,   да,,5,,
,210,         2 место в Высшем дивизионе,   да,,5,,
,211,         1 место в Высшем дивизионе,   да,,5,,
,212,         3 место в СЛ РЖД,   да,,5,,
,213,         2 место в СЛ РЖД,   да,,5,,
,214,         1 место в СЛ РЖД,   да,,5,,
,215,         3 место в ЛБ,   да,,5,,
,216,         2 место в ЛБ,   да,,5,,
,217,         1 место в ЛБ,   да,,5,,
,,      Призовые места в студенческих лигах женщины,,,,,
,218,         3 место в Высшем дивизионе,   да,,5,,
,219,         2 место в Высшем дивизионе,   да,,5,,
,220,         1 место в Высшем дивизионе,   да,,5,,
,221,         3 место в СЛ РЖД,   да,,5,,
,222,         2 место в СЛ РЖД,   да,,5,,
,223,         1 место в СЛ РЖД,   да,,5,,
,224,         3 место в ЛБ,   да,,5,,
,225,         2 место в ЛБ,   да,,5,,
,226,         1 место в ЛБ,   да,,5,,
,,   Любительский баскетбол (МЛБЛ),,,,,
,,      Мужские дивизионы,,,,,
,229,         Региональная зимняя/летняя лига мужская,   да,,5,,
,230,         Региональный мужской любительский дивизион НЕ МЛБЛ,,,8,,"   Подписанное положение представителями власти, длительность соревнования не менее 3 недель"
,231,         Региональный мужской дивизион МЛБЛ,   да,,10,,
,,      Женские дивизионы,,,,,
,232,         Региональная зимняя/летняя лига женская,   да,,5,,
,233,         Региональный женский любительский дивизион НЕ МЛБЛ,,,8,   Официальные любительские соревнования,"   Подписанное положение представителями власти, длительность соревнования не менее 3 недель"
,234,         Региональный женский дивизион МЛБЛ,   да,,10,,
,,      Участие любительских мужских команд,,,,,
,235,         Команда в региональном дивизионе МЛБЛ,   да,да,5,,
,236,         Команда в финале ФО или 1 лиге МЛБЛ,   да,да,5,,
,237,         Команда в Суперфинале МЛБЛ,   да,да,5,,
,,      Участие любительских женских команд,,,,,
,238,         Команда в региональном дивизионе МЛБЛ,   да,да,5,,
,239,         Команда в финале ФО или 1 лиге МЛБЛ,   да,да,5,,
,240,         Команда в Суперфинале МЛБЛ,   да,да,5,,
,,      Участие любительских детских команд,,,,,
,,      Команда в детских любительских чемпионатах,   да,да,5,,
,,      Призовые места в любительских лигах мужчины,,,,,
,241,         3 место в Финале ФО или 1 лиге МЛБЛ,   да,,"1,5",,
,242,         2 место в Финале ФО или 1 лиге МЛБЛ,   да,,5,,
,243,         1 место в Финале ФО или 1 лиге МЛБЛ,   да,,5,,
,244,         3 место в Суперфинале МЛБЛ,   да,,5,,
,245,         2 место в Суперфинале МЛБЛ,   да,,5,,
,246,         1 место в Суперфинале МЛБЛ,   да,,5,,
,,      Призовые места в любительских лигах женщины,,,,,
,247,         3 место в Финале ФО или 1 лиге МЛБЛ,   да,,"1,5",,
,248,         2 место в Финале ФО или 1 лиге МЛБЛ,   да,,3,,
,249,         1 место в Финале ФО или 1 лиге МЛБЛ,   да,,5,,
,250,         3 место в Суперфинале МЛБЛ,   да,,5,,
,251,         2 место в Суперфинале МЛБЛ,   да,,5,,
,252,         1 место в Суперфинале МЛБЛ,   да,,5,,
,,      Количество матчей,,,,,
,253,         Сыгранные мужские матчи МЛБЛ,   да,да,5,,
